File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
